ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
A002,G1P,L/G,-,5.9,3.3,0.9,,270,3,90,10,100,80,113,,1100,['IRKUT A-002']
A1,L1P,M/G,15.4,11.8,4.7,11.3,3150,2500,1,600,,310,215,280,163,3700,"['DOUGLAS AD Skyraider', 'DOUGLAS EA-1 Skyraider']"
A10,L2J,M/F,17.5,16.3,4.5,23.1,4850,2300,1,1200,610,450,410,423,310,6000,"['FAIRCHILD (1) A-10 Thunderbolt 2', 'FAIRCHILD (1) OA-10 Thunderbolt 2']"
A109,H2T,L/G,-,10.7,3.3,2.8,750,360,8,,,200,120,156,126,2100,"['AGUSTA AW-109 Da Vinci', 'AGUSTA A-109', 'AGUSTA A-109 Grand', 'AGUSTA A-109 Power', 'AGUSTA Hkp15', 'AGUSTA MH-68 Stingray', 'AGUSTA AW-109', 'AGUSTA AW-109 GrandNew', 'AGUSTA AW-109 Power', 'AGUSTA AW-109 Grand', 'AGUSTA A-109 Nexus', 'AGUSTA AW-109 Nexus', 'AGUSTA AW-109 Trekker', 'AGUSTA ESC-2', 'AGUSTAWESTLAND AW-109 Power', 'AGUSTAWESTLAND AW-109 GrandNew', 'AGUSTAWESTLAND AW-109', 'AGUSTAWESTLAND AW-109 Grand', 'DENEL A-109', 'FINMECCANICA AW-109 Power', 'FINMECCANICA AW-109 GrandNew', 'JIANGXI CHANGHE-AGUSTA CA-109 Power', 'LEONARDO AW-109 GrandNew', 'LEONARDO AW-109 Trekker', 'SABCA A-109']"
A119,H1T,L/G,-,11.1,3.7,2.8,870,350,9,,,185,110,140,135,1200,"['AGUSTA A-119 Koala', 'AGUSTA AW-119 Koala', 'AGUSTAWESTLAND AW-119 Koala', 'DENEL A-119 Koala', 'FINMECCANICA AW-119 Koala', 'LEONARDO AW-119 Koala']"
A122,L1P,L/G,8.5,6.6,2.7,0.9,,430,2,,,150,120,122,100,780,"['AEROTEC (1) A-122 Uirapuru', 'AEROTEC (1) T-23 Uirapuru']"
A124,L4J,H/B,73.3,69.1,21,405,348700,8900,88,3000,900,400,330,465,450 / .68,1300,['ANTONOV An-124 Ruslan']
A129,H2T,L/G,-,12.3,2.7,4.5,1000,325,2,,,160,155,139,129,2150,"['AGUSTA A-129 Mangusta', 'AGUSTA AW-129', 'AGUSTA T-129', 'AGUSTAWESTLAND AW-129', 'TAI T-129']"
A139,H2T,L/G,-,16.6,4.9,6,750,400,15,,,120,100,160,151,1200,"['AGUSTA AW-139', 'AGUSTA UH-139', 'AGUSTAWESTLAND AW-139', 'AGUSTAWESTLAND HH-139', 'AGUSTAWESTLAND VH-139', 'AGUSTAWESTLAND UH-139', 'BELL-AGUSTA AB-139', 'BOEING-LEONARDO MH-139 Grey Wolf', 'FINMECCANICA AW-139', 'HELIVERT AW-139', 'LEONARDO AW-139', 'LEONARDO MH-139 Grey Wolf']"
A140,L2T,M/F,24.5,22.6,8.2,21.5,5850,1600,54,1495,,250,220,290,243,1500,"['ANTONOV An-140', 'HESA IRAN-140 Faraz']"
A148,L2J,M/E,28.9,29.1,8.2,39.5,12100,3000,80,1800,2100,470,410,,440,,['ANTONOV An-148']
A149,H2T,M/G,-,14.6,5.1,8.1,,,2+18,,,,60,150,,,"['AGUSTA AW-149', 'AGUSTAWESTLAND AW-149', 'LEONARDO AW-149']"
A158,L2J,M/Z,28.9,34.4,8.6,43.7,,1350,99,1900,2000,400,370,470,430,,['ANTONOV An-158']
A16,L1P,L/G,8.8,8.2,,0.7,,390,2,150,,130,100,119,105,1000,['AVIADESIGN A-16 Sport Falcon']
A169,H2T,L/G,-,14.6,4.5,,,,12,,,,,140,100,,"['AGUSTAWESTLAND AW-169', 'FINMECCANICA AW-169', 'LEONARDO AW-169']"
A178,L2J,M/E,30.5,32.2,9.6,52.4,14650,2500,4+90,,,430,,530,445 / .81,,['ANTONOV An-178']
A189,H2T,M/G,-,17.6,5,8,2068,240,20,,,,,,145,,"['AGUSTAWESTLAND AW-189', 'FINMECCANICA AW-189', 'LEONARDO AW-189']"
A19,L1P,L/G,10.6,6.5,2.5,0.7,60,,2,100,,,,81,65,500,['AEROPRACT A-19']
