squawk,function
0000,SSR data unreliable
0001,Height Monitoring Unit (See note 4)
0002,Ground Transponder Testing (Refer to ENR 1.6 paragraph 2.2.3)
0003,Surrey/Sussex HEMS (HLE60)
0004,Scottish Non-standard Flights
0005,Scottish Non-standard Flights
0006,British Transport Police ASU
0007,Off-shore Safety Area (OSA) Conspicuity (See note 9)
0010,This code may be used when flying in the vicinity of Birmingham operating outside of Birmingham CTR/ Birmingham CTA and monitoring Birmingham Radar frequency (Refer to ENR 1.6 paragraph 2.2.5)
0011,Aircraft operating in the vicinity of Bournemouth Control Zone and monitoring Bournemouth Radar Frequency West (Refer to ENR 1.6 paragraph 2.2.5)
0012,This code may be used when flying in the vicinity of London City and London Heathrow and monitoring Thames Director frequency (Refer to ENR 1.6 paragraph 2.2.5)
0013,This code may be used when flying in the vicinity of London Luton and monitoring Luton Radar frequency (Refer to ENR 1.6 paragraph 2.2.5)
0014,Kent Air Ambulance (HLE21)
0015,Essex Air Ambulance (HLE07)
0016,Thames Valley Air Ambulance (HLE24)
0017,London Air Ambulance (HLE27)
0020,Air Ambulance Helicopter Emergency Medivac
0021,Fixed-wing aircraft (Receiving service from a ship)
0022,Helicopter(s) (Receiving service from a ship)
0023,Aircraft engaged in actual SAR Operations
0024,Radar Flight Evaluation/Calibration (Refer to ENR 1.6 paragraph 2.2.2.2)
0025,Scottish Non-standard Flights
0026,Special Tasks
0027,London Control (Swanwick) Ops Crossing/Joining CAS (See note 7)
0030,FIR Lost
0031,Hertfordshire Air Ambulance (HLE55)
0032,Aircraft engaged in police air support operations
0033,Aircraft Paradropping (Refer to ENR 1.6 paragraph 2.2.2.2)
0034,Antenna trailing/target towing/glider towing
0035,Selected Flights - Helicopters
0036,Helicopter Pipeline/Powerline Inspection Flights
0037,Royal Flights - Helicopters
0040,Civil Helicopters North Sea
0041,Police Air Support
0042,Police Air Support
0043,Police Air Support
0044,Police Air Support
0045,Police Air Support
0046,Police Air Support
0047,Police Air Support
0048,Police Air Support
0049,Police Air Support
0050,Police Air Support
0051,Police Air Support
0052,Police Air Support
0053,Police Air Support
0054,Police Air Support
0055,Police Air Support
0056,Police Air Support
0057,Police Air Support
0058,Police Air Support
0059,Police Air Support
0060,Police Air Support
0061,Police Air Support
0062,No 1 Air Control Centre
0063,No 1 Air Control Centre
0064,No 1 Air Control Centre
0065,No 1 Air Control Centre
0066,No 1 Air Control Centre
0067,No 1 Air Control Centre
0068,No 1 Air Control Centre
0069,No 1 Air Control Centre
0070,No 1 Air Control Centre
0071,No 1 Air Control Centre
0072,No 1 Air Control Centre
